google-0x0g-2018-badge	About ##	This is the electronic badge distributed at 0x0G, Google's annual event atDEF CON/Black Hat
google-0x0g-2018-badge	About ##	 This badge features a PIC microcontroller driving a ring ofLEDs with communication over infrared.Included are circuit design files and firmware source
google-0x0g-2018-badge	About ##	 Both are licensed underthe Apache 2 license.This is not an officially supported Google product
google-0x0g-2018-badge	About ##	 This is a one-time release,do not expect updates even if it turns out we have bugs.
google-0x0g-2018-badge	Authors ##	If you have any questions about the badge, feel free to contact one of the
google-AppSpeedIndex	1  Build the "BoundingBox" helper app.	sdk/tools/android update project --name BoundingBox -p 
google-AppSpeedIndex	1  Build the "BoundingBox" helper app.	--target android-19ant clean debugant debug install
google-AppSpeedIndex	2  Build the "bitmap" python module:	g++ bitmaptools.cc -o bitmaptools
google-AppUpdateTrackerLib	UpdateTracker Android Library project	Project Goal ------- Right click on .aar file and select 'Save Link as...' Also in **build.gradle*PingAdwordsUtil.recordRefererOnDeepLinkCall ..
google-AppUpdateTrackerLib	UpdateTracker Android Library project	PingAdwordsUtil.onResumePingIfAppUpdate ..
google-AppUpdateTrackerLib	UpdateTracker Android Library project	 Upon app update ad-click, if a deeplink is fired then DeepLinkTrackerActivity can be called
google-AppUpdateTrackerLib	UpdateTracker Android Library project	Later when PingAdwordsUtil.onResumePingIfAppUpdate .
google-AppUpdateTrackerLib	UpdateTracker Android Library project	 will be invoked, the referer will be used for adwords attribution
google-AppUpdateTrackerLib	Copyright Notice	Copyright  C  2013-2015 Google Inc., authors, and contributors  see the AUTHORSfile 
google-AppUpdateTrackerLib	Copyright Notice	 Licensed under the  Apache 2.0 license  see the LICENSE file 
google-AppUpdateTrackerLib	Copyright Notice	 **This is not an official Google product.**
google-BrokenType	BrokenType	BrokenType is a set of tools designed to test the robustness and security of font rasterization software, especially codebases prone to memory corruption issues  written in C/C++ and similar languages 
google-BrokenType	BrokenType	It consists of three components:The programs and scripts were successfully used in 2015-2017 to discover and report  20  vulnerabilities in the font rasterization code present in the Windows kernel  win32k.sys and atmfd.dll drivers , and further  19  security flaws in the user-mode Microsoft Uniscribe library
google-BrokenType	BrokenType	The fuzzing efforts were discussed in the following Google Project Zero blog posts:
google-BrokenType	Disclaimer	This is not an official Google product.
google-CSP-Validator	CSP Validator	! image This is a  Sublime Text 2  plugin that checks yourJavaScript, HTML and CSS for potential  Content Security Policy  issues
google-CSP-Validator	CSP Validator	If you're new to Content Security Policythere is, in fact,  an HTML5 Rocks article for that Right now the plugin checks for:Right now you need to clone this repo into your packages folder typically ~/Library/Application Support/Sublime Text 2/Packages .to be added to Package Control._
google-CSP-Validator	Usage	Just code away and all being well you will receive warnings as the plugin findsthem
google-CSP-Validator	Usage	If for any reason you want to disable the warnings you can use *Ctrl + Option + Shift + C
google-CallBuilder	CallBuilder	Make a builder by defining one function
google-CallBuilder	CallBuilder	  _beta_: be ready for breaking API changes builder class
google-CallBuilder	CallBuilder	Builders are great when you have a constructor or method withmany parameters
google-CallBuilder	CallBuilder	They are even helpful when you have two or more arguments ofthe same type, since the order is easy to mix up.Builders are usually hard to write
google-CallBuilder	CallBuilder	You will probably need around 4 lines forevery field, and if it's an inner class, it makes the file long and cumbersometo navigate
google-CallBuilder	CallBuilder	This discourages many people from writing builders, and thosepeople give up and learn to live with brittle, and hard-to-read code
google-CallBuilder	CallBuilder	If youwant to add multiple setters for a field  common for lists that may have add andaddAll , your builder will quickly become a chore to write and a burden toCallBuilder changes that
google-CallBuilder	CallBuilder	To use it, you can simply write the method orconstructor as you normally would, but add the @CallBuilder annotation:that are of a certain type
google-CallBuilder	CallBuilder	This can make the API more natural and look morelike a manually-written builder:
google-CausalImpact	An R package for causal inference using Bayesian structural time-series models	This R package implements an approach to estimating the causal effect of adesigned intervention on a time series
google-CausalImpact	An R package for causal inference using Bayesian structural time-series models	For example, how many additional dailyclicks were generated by an advertising campaign? Answering a question like thiscan be difficult when a randomized experiment is not available
google-CausalImpact	An R package for causal inference using Bayesian structural time-series models	The package aimsto address this difficulty using a structural Bayesian time-series model toestimate how the response metric might have evolved after the intervention ifthe intervention had not occurred.As with all approaches to causal inference on non-experimental data, validconclusions require strong assumptions
google-CausalImpact	An R package for causal inference using Bayesian structural time-series models	The CausalImpact package, in particular,assumes that the outcome time series can be explained in terms of a set ofcontrol time series that were themselves not affected by the intervention.Furthermore, the relation between treated series and control series is assumedto be stable during the post-intervention period
google-CausalImpact	An R package for causal inference using Bayesian structural time-series models	Understanding and checkingthese assumptions for any given application is critical for obtaining valid
google-CausalImpact	Installation	 Video tutorial  Documentation and examples 
google-Chrome.Docs	Chrome.Docs	Draft documentation for developer features in the Chrome beta, canary, and dev channels.This repo contains drafts for content that will be moved to MDN when particular versions of Chrome reach stable
google-Chrome.Docs	Chrome.Docs	Because it is drafts, don't assume that it is authoratative or complete
google-Chrome.Docs	Chrome.Docs	It's organized with separate directories correspoonding to certain lables on  chromestatus.com The current directories are:Chrome.Docs is an open source project and we welcome your contributions!Before submitting a pull request, please review  CONTRIBUTING.md  CONTRIBUTING.md and make sure that there is an issue filed describing the fix or new content.If you don't complete these steps, we won't be able to accept your pull request, sorry.
google-DirectXShaderCompiler	DirectX Shader Compiler	 ! Build status  The DirectX Shader Compiler project includes a compiler and related tools used to compile High-Level Shader Language  HLSL  programs into DirectX Intermediate Language  DXIL  representation
google-DirectXShaderCompiler	DirectX Shader Compiler	Applications that make use of DirectX for graphics, games, and computation can use it to generate shader programs.For more information, see the  Wiki 
google-DirectXShaderCompiler	Features and Goals	The starting point of the project is a fork of the  LLVM  and  Clang  projects, modified to accept HLSL and emit a validated container that can be consumed by GPU drivers.At the moment, the DirectX HLSL Compiler provides the following components:The goal of the project is to allow the broader community of shader developers to contribute to the language and representation of shader programs, maintaining the principles of compatibility and supportability for the platform
google-DirectXShaderCompiler	Features and Goals	It's currently in active development across two axes: language evolution  with no impact to DXIL representation , and surfacing hardware capabilities  with impact to DXIL, and thus requiring coordination with GPU implementations .
google-DirectXShaderCompiler	SPIR-V CodeGen	As an example of community contribution, this project can also target the  SPIR-V  intermediate representation
google-DirectXShaderCompiler	SPIR-V CodeGen	Please see the  doc  docs/SPIR-V.rst  for how HLSL features are mapped to SPIR-V, and the  wiki  page for how to build, use, and contribute to the SPIR-V CodeGen.
